,Firestations,Address,FS_latitude,FS_longitude
0,San Francisco Fire Station 1,935 Folsom Street San Francisco CA 94103,37.77941665,-122.40409998383754
1,San Francisco Fire Station 2,1340 Powell Street San Francisco CA 94133,37.79701765,-122.40990299961803
2,San Francisco Fire Station 3,1067 Post Street San Francisco CA 94109,37.786821836734696,-122.41931718367347
3,San Francisco Fire Station 10,655 Presidio Avenue San Francisco CA,37.7856096,-122.44682081193467
4,San Francisco Fire Station 11,3880 26th Street San Francisco CA,37.7486775,-122.4265049
5,San Francisco Fire Station 12,1145 Stanyan Street San Francisco CA,37.76349705,-122.45264248303899
6,San Francisco Fire Station 13,530 Sansome Street San Francisco CA,37.795543699999996,-122.40138550431911
7,San Francisco Fire Station 14,551 26th Avenue San Francisco CA 94121,37.779007,-122.4858634
8,San Francisco Fire Station 15,1000 Ocean Avenue San Francisco CA,37.7234522,-122.45289890000001
9,San Francisco Fire Station 16,2251 Greenwich Street San Francisco CA,37.79866695,-122.43673439926471
10,San Francisco Fire Station 17,1295 Shafter Avenue San Francisco CA,37.72751265,-122.38504372974234
11,San Francisco Fire Station 18,1935 32nd Avenue San Francisco CA,37.751006849999996,-122.49056047558881
12,San Francisco Fire Station 19,390 Buckingham Way San Francisco CA,37.727842949999996,-122.47890519930337
13,San Francisco Fire Station 20,285 Olympia Way San Francisco CA 94131,37.7511783,-122.45623046049579
14,San Francisco Fire Station 21,1443 Grove Street San Francisco CA 94117,37.7754221,-122.44031127633022
15,San Francisco Fire Station 22,1290 16th Avenue San Francisco CA 94122,37.76398385,-122.47368957757755
16,San Francisco Fire Station 23,1348 45th Avenue San Francisco CA,37.76141855,-122.50463676813581
17,San Francisco Fire Station 24,100 Hoffman Avenue San Francisco CA,37.75312895,-122.44110628979568
18,San Francisco Fire Station 25,3305 3rd St San Francisco CA 94124,37.747142068670826,-122.38745967238924
19,San Francisco Fire Station 26,80 Digby Street San Francisco CA 94131,37.7402754,-122.43329151271077
20,San Francisco Fire Station 28,1814 Stockton Street San Francisco CA,37.8025574,-122.4093845
21,San Francisco Fire Station 29,299 Vermont Street San Francisco CA 94103,37.766160400000004,-122.40438950000001
22,San Francisco Fire Station 31,441 12th Avenue San Francisco CA,37.77985115,-122.47120677591565
23,San Francisco Fire Station 32,194 Park Street San Francisco CA 94110,37.736298,-122.42119766279575
24,San Francisco Fire Station 33,8 Capitol Avenue San Francisco CA 94112,37.71086195,-122.45860226477377
25,San Francisco Fire Station 34,499 41st Ave San Francisco CA 94121,37.77947145,-122.50264067599448
26,San Francisco Fire Station 35,The Embarcadero San Francisco CA,37.7857972,-122.3878134
27,San Francisco Fire Station 36,109 Oak Street San Francisco CA,37.77498165,-122.42123850149143
28,San Francisco Fire Station 37,798 Wisconsin Street San Francisco CA,37.75740585,-122.39923494848307
29,San Francisco Fire Station 38,2150 California Street San Francisco CA,37.78968755,-122.4298575287077
30,San Francisco Fire Station 39,1091 Portola Drive San Francisco CA,37.7400219,-122.45867568993319
31,San Francisco Fire Station 4,449 Mission Rock San Francisco CA 94158,37.7728017,-122.3891338
32,San Francisco Fire Station 40,2155 18th Avenue San Francisco CA 94116,37.74762185,-122.47529030338461
33,San Francisco Fire Station 41,1325 Leavenworth Street San Francisco CA 94109,37.79338225,-122.41650955
34,San Francisco Fire Station 42,2430 San Bruno Avenue San Francisco CA 94134,37.7315829,-122.40555796329281
35,San Francisco Fire Station 43,720 Moscow St San Francisco CA 94112,37.716255714285715,-122.43152891836735
36,San Francisco Fire Station 44,1298 Girard Street San Francisco CA 94134,37.7166527,-122.40042958061588
37,San Francisco Fire Station 48,800 Ave I San Francisco CA 94130,37.82618665,-122.36992147560676
38,San Francisco Fire Station 49,2241 Jerrold Avenue San Francisco CA 94124,37.7446106,-122.40189333335114
39,San Francisco Fire Station 5,1301 Turk Street San Francisco CA 94115,37.78044025,-122.43075646566922
40,San Francisco Fire Station 51,218 Lincoln Boulevard San Francisco CA,37.8015569,-122.45546789425052
41,San Francisco Fire Station 6,135 Sanchez Street San Francisco CA 94114,37.76713325,-122.4308727991799
42,San Francisco Fire Station 7,2300 Folsom Street San Francisco CA 94110,37.760139800000005,-122.41511785310067
43,San Francisco Fire Station 8,36 Bluxome Street San Francisco CA 94107,37.77726425,-122.39673201463609
44,San Francisco Fire Station 9,2245 Jerrold Avenue San Francisco CA 94124,37.74524125,-122.40126036363915
